minbound,shape,unit
-55500,38,1500
-7500,24,1500
0,24,3000

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,0,12,0
0,0,13,0
0,0,14,0
0,0,15,0
0,0,16,0
0,0,17,0
0,0,18,0
0,0,19,0
0,0,20,0
0,0,21,0
0,0,22,0
0,0,23,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,1,12,0
0,1,13,0
0,1,14,0
0,1,15,0
0,1,16,0
0,1,17,0
0,1,18,0
0,1,19,0
0,1,20,0
0,1,21,0
0,1,22,0
0,1,23,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,2,11,0
0,2,12,0
0,2,13,0
0,2,14,0
0,2,15,0
0,2,16,0
0,2,17,0
0,2,18,0
0,2,19,0
0,2,20,0
0,2,21,0
0,2,22,0
0,2,23,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,0
0,3,10,0
0,3,11,0
0,3,12,0
0,3,13,0
0,3,14,0
0,3,15,0
0,3,16,0
0,3,17,0
0,3,18,0
0,3,19,0
0,3,20,0
0,3,21,0
0,3,22,0
0,3,23,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,4,13,0
0,4,14,0
0,4,15,0
0,4,16,0
0,4,17,0
0,4,18,0
0,4,19,0
0,4,20,0
0,4,21,0
0,4,22,0
0,4,23,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,5,8,0
0,5,9,0
0,5,10,0
0,5,11,0
0,5,12,0
0,5,13,0
0,5,14,0
0,5,15,0
0,5,16,0
0,5,17,0
0,5,18,0
0,5,19,0
0,5,20,0
0,5,21,0
0,5,22,0
0,5,23,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,6,14,0
0,6,15,0
0,6,16,0
0,6,17,0
0,6,18,0
0,6,19,0
0,6,20,0
0,6,21,0
0,6,22,0
0,6,23,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,7,12,0
0,7,13,0
0,7,14,0
0,7,15,0
0,7,16,0
0,7,17,0
0,7,18,0
0,7,19,0
0,7,20,0
0,7,21,0
0,7,22,0
0,7,23,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,8,12,0
0,8,13,0
0,8,14,0
0,8,15,0
0,8,16,0
0,8,17,0
0,8,18,0
0,8,19,0
0,8,20,0
0,8,21,0
0,8,22,0
0,8,23,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,9,14,0
0,9,15,0
0,9,16,0
0,9,17,0
0,9,18,0
0,9,19,0
0,9,20,0
0,9,21,0
0,9,22,0
0,9,23,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,10,15,0
0,10,16,0
0,10,17,0
0,10,18,0
0,10,19,0
0,10,20,0
0,10,21,0
0,10,22,0
0,10,23,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,11,11,0
0,11,12,0
0,11,13,0
0,11,14,0
0,11,15,0
0,11,16,0
0,11,17,0
0,11,18,0
0,11,19,0
0,11,20,0
0,11,21,0
0,11,22,0
0,11,23,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,0
0,12,12,0
0,12,13,0
0,12,14,0
0,12,15,0
0,12,16,0
0,12,17,0
0,12,18,0
0,12,19,0
0,12,20,0
0,12,21,0
0,12,22,0
0,12,23,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,13,11,0
0,13,12,0
0,13,13,0
0,13,14,0
0,13,15,0
0,13,16,0
0,13,17,0
0,13,18,0
0,13,19,0
0,13,20,0
0,13,21,0
0,13,22,0
0,13,23,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,14,11,0
0,14,12,0
0,14,13,0
0,14,14,0
0,14,15,0
0,14,16,0
0,14,17,0
0,14,18,0
0,14,19,0
0,14,20,0
0,14,21,0
0,14,22,0
0,14,23,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,15,12,0
0,15,13,0
0,15,14,0
0,15,15,0
0,15,16,0
0,15,17,0
0,15,18,0
0,15,19,0
0,15,20,0
0,15,21,0
0,15,22,0
0,15,23,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
0,16,14,0
0,16,15,0
0,16,16,0
0,16,17,0
0,16,18,0
0,16,19,0
0,16,20,0
0,16,21,0
0,16,22,0
0,16,23,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,17,11,0
0,17,12,0
0,17,13,0
0,17,14,0
0,17,15,0
0,17,16,0
0,17,17,0
0,17,18,0
0,17,19,0
0,17,20,0
0,17,21,0
0,17,22,0
0,17,23,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,18,12,0
0,18,13,0
0,18,14,0
0,18,15,0
0,18,16,0
0,18,17,0
0,18,18,0
0,18,19,0
0,18,20,0
0,18,21,0
0,18,22,0
0,18,23,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,19,11,0
0,19,12,0
0,19,13,0
0,19,14,0
0,19,15,0
0,19,16,0
0,19,17,0
0,19,18,0
0,19,19,0
0,19,20,0
0,19,21,0
0,19,22,0
0,19,23,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,0
0,20,12,0
0,20,13,0
0,20,14,0
0,20,15,0
0,20,16,0
0,20,17,0
0,20,18,0
0,20,19,0
0,20,20,0
0,20,21,0
0,20,22,0
0,20,23,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,0
0,21,11,0
0,21,12,0
0,21,13,0
0,21,14,0
0,21,15,0
0,21,16,0
0,21,17,0
0,21,18,0
0,21,19,0
0,21,20,0
0,21,21,0
0,21,22,0
0,21,23,0
0,22,0,0
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,22,11,0
0,22,12,0
0,22,13,0
0,22,14,0
0,22,15,0
0,22,16,0
0,22,17,0
0,22,18,0
0,22,19,0
0,22,20,0
0,22,21,0
0,22,22,0
0,22,23,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,23,11,0
0,23,12,0
0,23,13,0
0,23,14,0
0,23,15,0
0,23,16,0
0,23,17,0
0,23,18,0
0,23,19,0
0,23,20,0
0,23,21,0
0,23,22,0
0,23,23,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,0,12,0
1,0,13,0
1,0,14,0
1,0,15,0
1,0,16,0
1,0,17,0
1,0,18,0
1,0,19,0
1,0,20,0
1,0,21,0
1,0,22,0
1,0,23,0
1,1,0,0
1,1,1,0.0434783
1,1,2,0.0869565
1,1,3,0.130435
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,2,0,0
1,2,1,0.0434783
1,2,2,0.0869565
1,2,3,0.130435
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,2,17,0
1,2,18,0
1,2,19,0
1,2,20,0
1,2,21,0
1,2,22,0
1,2,23,0
1,3,0,0
1,3,1,0.0434783
1,3,2,0.0869565
1,3,3,0.130435
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,4,0,0
1,4,1,0.0434783
1,4,2,0.0869565
1,4,3,0.130435
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,4,17,0
1,4,18,0
1,4,19,0
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,5,0,0
1,5,1,0.0434783
1,5,2,0.0869565
1,5,3,0.130435
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,0
1,5,23,0
1,6,0,0
1,6,1,0.0434783
1,6,2,0.0869565
1,6,3,0.130435
1,6,4,0
1,6,5,0.217391
1,6,6,0.26087
1,6,7,0.304348
1,6,8,0.347826
1,6,9,0.391304
1,6,10,0.434783
1,6,11,0.478261
1,6,12,0.521739
1,6,13,0.565217
1,6,14,0.608696
1,6,15,0.652174
1,6,16,0.695652
1,6,17,0.73913
1,6,18,0.782609
1,6,19,0.826087
1,6,20,0.869565
1,6,21,0.913043
1,6,22,0
1,6,23,0
1,7,0,0
1,7,1,0.0434783
1,7,2,0.0869565
1,7,3,0.130435
1,7,4,0
1,7,5,0.217391
1,7,6,0.26087
1,7,7,0.304348
1,7,8,0.347826
1,7,9,0.391304
1,7,10,0.434783
1,7,11,0.478261
1,7,12,0.521739
1,7,13,0.565217
1,7,14,0.608696
1,7,15,0.652174
1,7,16,0.695652
1,7,17,0.73913
1,7,18,0.782609
1,7,19,0.826087
1,7,20,0.869565
1,7,21,0.913043
1,7,22,0
1,7,23,0
1,8,0,0
1,8,1,0.0434783
1,8,2,0.0869565
1,8,3,0.130435
1,8,4,0
1,8,5,0.217391
1,8,6,0.26087
1,8,7,0.304348
1,8,8,0.347826
1,8,9,0.391304
1,8,10,0.434783
1,8,11,0.478261
1,8,12,0.521739
1,8,13,0.565217
1,8,14,0.608696
1,8,15,0.652174
1,8,16,0.695652
1,8,17,0.73913
1,8,18,0.782609
1,8,19,0.826087
1,8,20,0.869565
1,8,21,0.913043
1,8,22,0
1,8,23,0
1,9,0,0
1,9,1,0.0434783
1,9,2,0.0869565
1,9,3,0.130435
1,9,4,0
1,9,5,0.217391
1,9,6,0.26087
1,9,7,0.304348
1,9,8,0.347826
1,9,9,0.391304
1,9,10,0.434783
1,9,11,0.478261
1,9,12,0.521739
1,9,13,0.565217
1,9,14,0.608696
1,9,15,0.652174
1,9,16,0.695652
1,9,17,0.73913
1,9,18,0.782609
1,9,19,0.826087
1,9,20,0.869565
1,9,21,0.913043
1,9,22,0
1,9,23,0
1,10,0,0
1,10,1,0.0434783
1,10,2,0.0869565
1,10,3,0.130435
1,10,4,0
1,10,5,0.217391
1,10,6,0.26087
1,10,7,0.304348
1,10,8,0.347826
1,10,9,0.391304
1,10,10,0.434783
1,10,11,0.478261
1,10,12,0.521739
1,10,13,0.565217
1,10,14,0.608696
1,10,15,0.652174
1,10,16,0.695652
1,10,17,0.73913
1,10,18,0.782609
1,10,19,0.826087
1,10,20,0.869565
1,10,21,0.913043
1,10,22,0
1,10,23,0
1,11,0,0
1,11,1,0.0434783
1,11,2,0.0869565
1,11,3,0.130435
1,11,4,0
1,11,5,0.217391
1,11,6,0.26087
1,11,7,0.304348
1,11,8,0.347826
1,11,9,0.391304
1,11,10,0.434783
1,11,11,0.478261
1,11,12,0.521739
1,11,13,0.565217
1,11,14,0.608696
1,11,15,0.652174
1,11,16,0.695652
1,11,17,0.73913
1,11,18,0.782609
1,11,19,0.826087
1,11,20,0.869565
1,11,21,0.913043
1,11,22,0
1,11,23,0
1,12,0,0
1,12,1,0.0434783
1,12,2,0.0869565
1,12,3,0.130435
1,12,4,0
1,12,5,0.217391
1,12,6,0.26087
1,12,7,0.304348
1,12,8,0.347826
1,12,9,0.391304
1,12,10,0.434783
1,12,11,0.478261
1,12,12,0.521739
1,12,13,0.565217
1,12,14,0.608696
1,12,15,0.652174
1,12,16,0.695652
1,12,17,0.73913
1,12,18,0.782609
1,12,19,0.826087
1,12,20,0.869565
1,12,21,0.913043
1,12,22,0
1,12,23,0
1,13,0,0
